Name,Description,Rating,Reviews,Launched Date,Categories,Support Email
Original Wheelio spin pop‑ups ," Boost your email and SMS lead generation with gamified fully customizable pop-up forms.  Wheelio pop up forms include the gamification factor in email and SMS lead generation. We make email & SMS collection fun and entertaining for visitors and drive additional sales in otherwise lost traffic. You can use multiple gamification pop ups and you can customize them to your liking. We also offer multiple integration options with email and SMS services. Our app offers complex settings, but it is easy and fast to set up and it doesn\'t affect your site loading speed.   Wheelio pop up forms include the gamification factor in email and SMS lead generation. We make email & SMS collection fun and entertaining for visitors and drive additional sales in otherwise lost traffic. You can use multiple gamification pop ups and you can customize them to your liking. We also offer multiple integration options with email and SMS services. Our app offers complex settings, but it is easy and fast to set up and it doesn\'t affect your site loading speed.  more         We offer multiple gamification pop ups, wheelio, scratch card and slot machine.         With Wheelio you can collect emails, SMS, push notifications, messenger leads.         We have advanced pop up features, but are easy to use and to set up.    ",Rating (4.8),411,"February 9, 2017","Email capture, Discounts, Email capture, Discounts",+38631335070
ThreeDee ‑ 3D Sections ," Easily create personalized 3D sections to keep your customers engaged and grow your email list.  With ThreeDee, you can grow your email list and engage customers with fun and interactive experiences that align with your brand. ThreeDee is fully customizable, change the 3D object colors, add your logo with custom textures and much more. Our app is designed with performance in mind, so you don\'t have to worry about slowing down your website. Try it today and see the difference it makes!   With ThreeDee, you can grow your email list and engage customers with fun and interactive experiences that align with your brand. ThreeDee is fully customizable, change the 3D object colors, add your logo with custom textures and much more. Our app is designed with performance in mind, so you don\'t have to worry about slowing down your website. Try it today and see the difference it makes!  more         Email capture functionality to grow your email list         Easily add your logo or a custom texture to wrap the interactive 3D objects         Fully customizable text and colors to align with your brand    ",Rating (5),1,"February 24, 2023","Email capture, Email capture",support@threedee.store
Spin Studio ‑ 360 Product Spin ," Create interactive, animated 360 images for your products. Spinning images made easy.  Show off your product to online customers in a 360 view and help prospective buyers overcome any doubts about its quality!

Instead of viewing plain images or passively watching videos, your visitors can interact with 3D spinning images of your product and examine it from any angle. It’s almost the same as checking out a product in a physical store and simplifies the customer’s purchasing decision. You can also let customers interact with your product by folding or unfolding it, for example.   Show off your product to online customers in a 360 view and help prospective buyers overcome any doubts about its quality!

Instead of viewing plain images or passively watching videos, your visitors can interact with 3D spinning images of your product and examine it from any angle. It’s almost the same as checking out a product in a physical store and simplifies the customer’s purchasing decision. You can also let customers interact with your product by folding or unfolding it, for example.  more         Magic 360 spinning images to show every detail of your product.         Adds 360 view animation for customers to feel more confident about your product.         Creates 360 view from set of photos or 3D models.         Fancy 360 view icons for thumbnails in your product gallery.         Easy to use 360 view drag-n-drop builder.    ",Rating (4.6),29,"August 9, 2012","Image editor, Image editor",support@spinstudioapp.com
Drop Shipping & P.O.D Textiles ,"   #Simple and easy drop shipping
Increase your product range at no extra cost to overheads with Paul Bristow Associates, specialist textile manufacturers since 1985. When a customer places an order on your store, we will receive the order, print, sew and send to your customer without any additional input from you.
 
#UK based manufacturer
We print, sew, and pack all our products in Wrexham, North Wales, this means that delivery times to the UK are much lower than other suppliers and you can...   #Simple and easy drop shipping
Increase your product range at no extra cost to overheads with Paul Bristow Associates, specialist textile manufacturers since 1985. When a customer places an order on your store, we will receive the order, print, sew and send to your customer without any additional input from you.
 
#UK based manufacturer
We print, sew, and pack all our products in Wrexham, North Wales, this means that delivery times to the UK are much lower than other suppliers and you can...  more    ",Rating (3),2,"January 13, 2021","Dropshipping, Dropshipping",+44 (0) 1978 664 779
SMS Abandoned Cart – CartBoss ," Automatically recover abandoned carts with pre-prepared & translated text messages!  Start recovering abandoned carts, improving your customer lifetime value, and reducing dead stock - all with text messages (SMS) in less than 5 minutes!

No need to write your own text messages, translate them, or prepare special discount codes.

Everything works out of the box - the recipient\'s language is automatically detected, and discounts are generated on the fly - additionally, they are automatically applied to the recipient\'s cart.   Start recovering abandoned carts, improving your customer lifetime value, and reducing dead stock - all with text messages (SMS) in less than 5 minutes!

No need to write your own text messages, translate them, or prepare special discount codes.

Everything works out of the box - the recipient\'s language is automatically detected, and discounts are generated on the fly - additionally, they are automatically applied to the recipient\'s cart.  more         Pre-Prepared and translated text messages         Automatic recipient language detection         Unlimited special offers and discounts         Auto-fill recipients checkout fields         GDPR compliant    ",Rating (5),6,"December 22, 2021","Abandoned cart, Abandoned cart",00386 41 904 970
Swipper Product Image Carousel ," Swiper is the latest mobile touch slider with awesome features.
Combine your products in single.  Powered by awesome Features:
* Your product images will be lazy loaded, meaning a higher PageSpeed score.
* SWIPPER provides 1:1 touch movement interaction. 
*2D and 3D templates; frequently updated. 
* SWIPPER Supports modern apps/platforms to bring the finest experience such as Shopify Online Store 2.0
* SWIPPER supports modern parallax transition effects allowing you to stand out from the crowd.
* SWIPPER comes with all required built-in navigation elements.   Powered by awesome Features:
* Your product images will be lazy loaded, meaning a higher PageSpeed score.
* SWIPPER provides 1:1 touch movement interaction. 
*2D and 3D templates; frequently updated. 
* SWIPPER Supports modern apps/platforms to bring the finest experience such as Shopify Online Store 2.0
* SWIPPER supports modern parallax transition effects allowing you to stand out from the crowd.
* SWIPPER comes with all required built-in navigation elements.  more         Your product images will be lazy loaded. They will be loaded only when needed.         1:1 touch movement interaction.         2D and 3D templates which will be updated frequently.    ",Rating (5),9,"October 14, 2022","Image galleries, Image galleries",+212701400620
Spiff 3D Product Customization ," 2D/3D product customizer with a fully configurable fulfilment automation layer.  Spiff delivers online and instore merchants the ability to offer custom products whilst maintaining a low cost of production which means custom can now be affordable to consumers and profitable to the merchant. Using the spiff 4 Pillars (Asset Storage, Product Customizer, Data Processing and Delivery automation) almost any experience can be achieved. Merchants can choose from our proven out of the box UI UX or for more bespoke requirements you can use our API to design your own UI UX.   Spiff delivers online and instore merchants the ability to offer custom products whilst maintaining a low cost of production which means custom can now be affordable to consumers and profitable to the merchant. Using the spiff 4 Pillars (Asset Storage, Product Customizer, Data Processing and Delivery automation) almost any experience can be achieved. Merchants can choose from our proven out of the box UI UX or for more bespoke requirements you can use our API to design your own UI UX.  more         Store Rich data against each variant you offer and use this info downstream.         Customizable Themes allow you to either choose from our selection or DIY.         Product Sharing allows you to leverage traffic from partner stores    ",Rating (4.5),21,"December 5, 2019
          ·","Image editor, Product options, Image editor, Product options",sales@spiff.com.au
Easy AR+3D Product Previews ," We boost sales by empowering shoppers to virtually preview your products in and around their homes.  It can be difficult to make purchase decisions based on the tiny images on shoppers\' devices-- especially those with a strong relationship to space, size or décor. This may be why your conversion rates are low or cart abandonment is high. When shoppers can see lifelike real-scale 3D models of your products in situ, it gives them the confidence to complete the purchase and reduces the likelihood that they will return them. AR will engage your customers and make your brand more memorable.   It can be difficult to make purchase decisions based on the tiny images on shoppers\' devices-- especially those with a strong relationship to space, size or décor. This may be why your conversion rates are low or cart abandonment is high. When shoppers can see lifelike real-scale 3D models of your products in situ, it gives them the confidence to complete the purchase and reduces the likelihood that they will return them. AR will engage your customers and make your brand more memorable.  more         No apps to install. Works on ordinary web browsers of most any phone or tablet.         Snaps into your site without writing a single line of code.         Customize the styling to match your site design.         We offer 3D modeling services that produce incredibly lifelike results.         Our fanatical customer support will ensure that your implementation succeeds.    ",Rating (5),4,"January 20, 2021","Product reviews, Product options, Product reviews, Product options",support@nvzn.net
Threekit 3D Configuration & AR ,"   Threekit unifies 3D configuration, photorealistic 2D images with Virtual Photographer, and Augmented Reality (AR) so your customers can easily spin, view, build, and customize your products to their specifications in real-time. 

Threekit makes product visualization easy. Once your products are loaded into the system, we do the heavy lifting—rendering images, deploying AR, and keeping your visuals accessible and organized on our content management system; all with the highest quality of 3D/AR...   Threekit unifies 3D configuration, photorealistic 2D images with Virtual Photographer, and Augmented Reality (AR) so your customers can easily spin, view, build, and customize your products to their specifications in real-time. 

Threekit makes product visualization easy. Once your products are loaded into the system, we do the heavy lifting—rendering images, deploying AR, and keeping your visuals accessible and organized on our content management system; all with the highest quality of 3D/AR...  more    ",Rating (5),1,"May 25, 2020","Image editor, Product options, Image editor, Product options",contact@threekit.com
Interlingue ‑ D2C Translation ," Interlingue is a translation app born from our experience of building various D2C Store.  This app is designed with the following concepts.

#Fully support the scalability of online store and your business
Shopify\'s strength is its scalability and flexibility to keep pace with business changes. The design concept is to keep the advantages.   This app is designed with the following concepts.

#Fully support the scalability of online store and your business
Shopify\'s strength is its scalability and flexibility to keep pace with business changes. The design concept is to keep the advantages.  more         You can search and translate the theme strings you want to translate on the site         We support bulk(batch) translation of all resources         All translation data can be exported/imported as a CSV file    ",Rating (4.5),3,"June 12, 2020","Language and translation, Language and translation",support.interlingue@mixlogue.jp
配送日時指定 .amp ,"   ## 購入時に配送希望日時を指定できるようになります
* 配送希望を指定するモジュールをカート画面に表示します
* ヤマト運輸・佐川急便・日本郵便にデフォルト対応、任意の配送設定も追加可能です
* 最短/最長で指定できる希望日の設定や、年末年始などの商品出荷ができない長期休暇の設定もできます
* 置き配の希望にも対応しています
* 設定は簡単、すぐに導入できます
* オープンロジに対応した項目セットでデータを保存します

## 期待できる効果
* 再配達の煩わしさを取り除き、ユーザー体験を向上できます
* お客様の購入時の受け取り不安を取り除くことで、カート離脱率を改善できます
* 再配達による受け取り遅延を減らすことができます

## こういうストアにオススメ
* 食品など、商品を早く受け取って欲しいストア
* カート離脱率が高いストア

====================

# Delivery Date and Time .amp
Allows customers to specify the delivery date and time

## 1....   ## 購入時に配送希望日時を指定できるようになります
* 配送希望を指定するモジュールをカート画面に表示します
* ヤマト運輸・佐川急便・日本郵便にデフォルト対応、任意の配送設定も追加可能です
* 最短/最長で指定できる希望日の設定や、年末年始などの商品出荷ができない長期休暇の設定もできます
* 置き配の希望にも対応しています
* 設定は簡単、すぐに導入できます
* オープンロジに対応した項目セットでデータを保存します

## 期待できる効果
* 再配達の煩わしさを取り除き、ユーザー体験を向上できます
* お客様の購入時の受け取り不安を取り除くことで、カート離脱率を改善できます
* 再配達による受け取り遅延を減らすことができます

## こういうストアにオススメ
* 食品など、商品を早く受け取って欲しいストア
* カート離脱率が高いストア

====================

# Delivery Date and Time .amp
Allows customers to specify the delivery date and time

## 1....  more    ",Rating (5),5,"April 29, 2019","Delivery date, Delivery date",support@andd.freshdesk.com
SUPREMATIK CONFIGURATOR +XR ," The ultimate app to manage custom options, prices, configurations with 2D, 3D, XR real-time preview  From people with experience in the production of custom-sized complex products which need to be fully recalculated even if at least minor change.
The application to create your own product configurators which will help you to get measurements before ordering, save measurement photos, calculate prices using measurement data, generate specifications, make previews in 2D, and 3D, and immerse XR
We are fresh & ambitious, don\'t hesitate to write us requests on new features, integrations, and problems   From people with experience in the production of custom-sized complex products which need to be fully recalculated even if at least minor change.
The application to create your own product configurators which will help you to get measurements before ordering, save measurement photos, calculate prices using measurement data, generate specifications, make previews in 2D, and 3D, and immerse XR
We are fresh & ambitious, don\'t hesitate to write us requests on new features, integrations, and problems  more         Sell custom-sized products with unlimited options. Converse inch <-> meters, etc         Use pricing formulas & options conditions for dynamic pricing. Live preview         Use 10+ input elements like checkboxes, dropdown menus, file uploads, and more         Customizable quotes support. Hide product prices. PDF Export         Real time 3D and immersive XR view of your catalog from Android phone    ",Rating (5),5,"January 31, 2023","Custom pricing and quotes, 3D/AR/VR, Custom pricing and quotes, 3D/AR/VR",zzeeee@gmail.com
"3D Snow, All Season Effects "," 3D Snow, Haloween & Christmas & more Animations to Boost Sales.  The app is best for those days of festivals where you want to make your customers feel the essence of festivals in your store.
With fully responsive design your customers can have smooth and wonderful mobile experience with these animations. Get into the mood of celebrations and festivity and give your customers a wonderful experience with 3D animation on your store.
Animations are available of Snowflakes, Halloween and Christmas, Valentine Week(Rose Day, Propose day, Chocolate Day, Teddy Day,   The app is best for those days of festivals where you want to make your customers feel the essence of festivals in your store.
With fully responsive design your customers can have smooth and wonderful mobile experience with these animations. Get into the mood of celebrations and festivity and give your customers a wonderful experience with 3D animation on your store.
Animations are available of Snowflakes, Halloween and Christmas, Valentine Week(Rose Day, Propose day, Chocolate Day, Teddy Day,  more         One click install. No modification required in your theme files.         Animations for Christmas, Snow, Halloween, Valentine, black friday, Sale & many.         One of its kind the app offers 3D animations to your store.    ",Rating (4.3),5,"October 7, 2019","Seasonal design, Seasonal design",matt.charlies28@gmail.com
送料無料バー .amp ,"   # Shopifyストアに送料無料になるまでの残り金額を表示します
* カートに入っている商品合計金額から、送料無料金額までの差額を表示させます
* 表示させる送料無料バーの色や文字色を変更できます
* カート内商品有無によって文言を出し分けることができます

# 期待できる効果
* 送料無料までの金額を表示することで、追加購入を訴求する
* 送料無料キャンペーンを打ち出すことができる

# こういうストアにオススメ
* 送料無料を取り入れているストア

====================

# Free Shipping Bar
Encourage additional purchases

## 1. Easy to install and use
No programming required. No programming is required, just install and start using it right away!

## 2. Adjust to fit your store
You can adjust the display...   # Shopifyストアに送料無料になるまでの残り金額を表示します
* カートに入っている商品合計金額から、送料無料金額までの差額を表示させます
* 表示させる送料無料バーの色や文字色を変更できます
* カート内商品有無によって文言を出し分けることができます

# 期待できる効果
* 送料無料までの金額を表示することで、追加購入を訴求する
* 送料無料キャンペーンを打ち出すことができる

# こういうストアにオススメ
* 送料無料を取り入れているストア

====================

# Free Shipping Bar
Encourage additional purchases

## 1. Easy to install and use
No programming required. No programming is required, just install and start using it right away!

## 2. Adjust to fit your store
You can adjust the display...  more    ",Rating (3),1,"October 16, 2020","Page enhancements - Other, Notifications - Other, Page enhancements - Other, Notifications - Other",support@andd.freshdesk.com
Instafeed | Instagram Feed ," Showcase your Instagram feed on your website. It makes your website shoppable, engaging and lively.  Instafeed by Instasell is an official Instagram partner app to display your Instagram reels on the website. You can turn your store visitors into customers with Instafeed.

Set it up in less than 60 seconds in 1 click. It gives Ultimate Social Proof on your website. You can hide posts, rearrange according to popularity; It\'s a One-click setup for all themes.

We also provide advanced analytics about viewers and conversions driven by the Instagram feed.

Instagram lookbooks are the way to go! :D   Instafeed by Instasell is an official Instagram partner app to display your Instagram reels on the website. You can turn your store visitors into customers with Instafeed.

Set it up in less than 60 seconds in 1 click. It gives Ultimate Social Proof on your website. You can hide posts, rearrange according to popularity; It\'s a One-click setup for all themes.

We also provide advanced analytics about viewers and conversions driven by the Instagram feed.

Instagram lookbooks are the way to go! :D  more         Shoppable Instagram feed: Tag posts with products & increase conversions.         Certified No Impact on website. The only app that has no impact on your website.         Make your website social with Instagram lookbooks using Instafeed app.         Fully customizable: Choose feed title, number of rows and columns and more.         Maintain fresh store content with automatic Instagram posts fetch.    ",Rating (4.8),71,"May 4, 2022","Product feeds, Page enhancements - Other, Product feeds, Page enhancements - Other",+919326901309
AR Space Designer ," Get higher conversion rates and higher click-through rates with our 3D and AR technology.  Visualizing products and their variants before purchasing is one of the biggest problems in e-commerce. We solve this problem by allowing users to preview multiple products in AR in their own environment before electing to make a purchase. This provides higher confidence in buying your products, and as a result, you will get higher conversion rates. 

All you need is to create 3D models of your products. We have a variety of ways to make them including photogrammetry.   Visualizing products and their variants before purchasing is one of the biggest problems in e-commerce. We solve this problem by allowing users to preview multiple products in AR in their own environment before electing to make a purchase. This provides higher confidence in buying your products, and as a result, you will get higher conversion rates. 

All you need is to create 3D models of your products. We have a variety of ways to make them including photogrammetry.  more         View multiple products in AR directly from web browser, no app required.         Make your shop AR ready instantly using Shopify Theme editor         Enterprise grade cloud portal to create, manage and publish 3D assets         Multiple ways to create 3D models for your products    ",Rating (5),2,"July 27, 2022","3D/AR/VR, Product display - Other, 3D/AR/VR, Product display - Other",info@imersian.com
Customis3d: Print on Demand ," We’re a print-on-demand drop-shipping service. We’ll print and ship your products to your customers.  Customis3d is an e-commerce app that allows shop owners to create and design products and add them to their stores. Our 3D templates reward customers with a more personalised shopping experience by allowing them to see predefined designs or their own designs in 3D.
We handle everything, so there is no need for inventory, production, or logistics. Our free 3D products enable to create unique designs for our growing list of products, including phone cases, metal prints, yoga mat and blankets.   Customis3d is an e-commerce app that allows shop owners to create and design products and add them to their stores. Our 3D templates reward customers with a more personalised shopping experience by allowing them to see predefined designs or their own designs in 3D.
We handle everything, so there is no need for inventory, production, or logistics. Our free 3D products enable to create unique designs for our growing list of products, including phone cases, metal prints, yoga mat and blankets.  more         3D Product Personalisation         Produced and distributed worldwide         Pay for what you sell    ",Rating (5),1,"December 26, 2022","Dropshipping, Print on demand (POD), Dropshipping, Print on demand (POD)",contact@customis3d.app
Burgerprints: Print‑on‑Demand ," Burgerprints app provides fulfill solution for Print On Demand, Handmade-On Demand products.  We handle all tedious and hard work from printing, packing, and shipping, which allows you to fully focus on designing and growing.

What we offers:
First of its kind Handmade-On-Demand product catalog.
Hundreds of Print-On-Demand products.
Easy to use mockup generator.
High quality with reasonable base cost.
Automatic Syncing with your Online Store   We handle all tedious and hard work from printing, packing, and shipping, which allows you to fully focus on designing and growing.

What we offers:
First of its kind Handmade-On-Demand product catalog.
Hundreds of Print-On-Demand products.
Easy to use mockup generator.
High quality with reasonable base cost.
Automatic Syncing with your Online Store  more         Hundreds of Print-on-Demand products with high quality and good base cost         No order minimums. Whether you sell one item or thousands, we fulfill it for you         Fulfillment is made easy with simple integration technology and auto-sync orders    ",Rating (3),2,"February 5, 2021","Print on demand (POD), Order sync, Print on demand (POD), Order sync",+84 931348999
Cela 3D/AR Integration ,"   Evolve your shop\'s online experience for customers to be more engaging and intuitive.

Integrating Cela\'s showroom configurator:

1. Helps increase sales and conversion
2. Helps reduce return rates
3. Provides high fidelity and resolution of the 3D content that can be interacted with in real-time

STEPS TO BEGIN SHOWCASE YOUR PRODUCTS

1. Create an account and purchase a subscription plan
2. Work with Cela to create a 3D Model of your product
3. Follow the steps in the app to embed the...   Evolve your shop\'s online experience for customers to be more engaging and intuitive.

Integrating Cela\'s showroom configurator:

1. Helps increase sales and conversion
2. Helps reduce return rates
3. Provides high fidelity and resolution of the 3D content that can be interacted with in real-time

STEPS TO BEGIN SHOWCASE YOUR PRODUCTS

1. Create an account and purchase a subscription plan
2. Work with Cela to create a 3D Model of your product
3. Follow the steps in the app to embed the...  more    ",Rating (5),1,"November 11, 2021","Image editor, Product options, Image editor, Product options",info@thecela.com
