Name,Description,Rating,Reviews,Launched Date,Categories,Support Email
Gorgias ‑ Helpdesk & Live Chat ," Unify all support conversations (and related orders) to accelerate growth through happier customers.  Convert more shoppers, and retain them longer, with Gorgias — the revenue-focused customer service platform for fast-growing ecommerce merchants. Centralize every order, every conversation, even social comments and DMs, all in one customer ticket view. Reduce checkout friction with self-service resources that provide instant answers, or use dynamic Macros to auto-fill responses with personalized info. All of this turns your support agents into sales reps for your business, accelerating revenue.   Convert more shoppers, and retain them longer, with Gorgias — the revenue-focused customer service platform for fast-growing ecommerce merchants. Centralize every order, every conversation, even social comments and DMs, all in one customer ticket view. Reduce checkout friction with self-service resources that provide instant answers, or use dynamic Macros to auto-fill responses with personalized info. All of this turns your support agents into sales reps for your business, accelerating revenue.  more         Prioritize email, chat, voice, SMS, WhatsApp and social comments/DMs in one feed         Get full customer context before answering, with order and conversation history         View, edit, and cancel Shopify orders without leaving the Gorgias customer view         Improve your support: Track team activity and support metrics on live dashboards         Instantly answer shopper questions with self-service menus — no agent required    ",Rating (4.3),546,"March 1, 2017","Chat, Support ticket management, Chat, Support ticket management",+1 415-429-5934
FREE Help Center & Product FAQ ," FaqKing helps you to create product FAQ pages for your store and a help center for your customers!  Free FAQ help center page is fully customizable meaning you can adjust various aspects like font size, color, style, etc., to match your brand and style. The app is carefully built by taking all end users into consideration which makes your life easy. FaqKing FAQ app doesn\'t require any changes in your theme and works independently so you don\'t need to have any coding/programming knowledge! 

NEW feature: bubble FAQ on selected pages!   Free FAQ help center page is fully customizable meaning you can adjust various aspects like font size, color, style, etc., to match your brand and style. The app is carefully built by taking all end users into consideration which makes your life easy. FaqKing FAQ app doesn\'t require any changes in your theme and works independently so you don\'t need to have any coding/programming knowledge! 

NEW feature: bubble FAQ on selected pages!  more         Create free help center FAQ\'s that match your theme and your needs.         Fully customize questions and answers with our easy to use admin dashboard.         Static page that supports multiple language translations, product page FAQ\'s.         Show FAQs in a separate page and your product pages.         Admin is able to add images and videos to FAQ answers, format texts.    ",Rating (4.8),68,"January 25, 2021","FAQ, Support - Other, FAQ, Support - Other",viktorasssit@gmail.com
Happy Birthday Email ," Collect birthdays and send your customers an email with a unique discount code on their birthday  A Birthday email is one of the best performing marketing campaigns, fully automated and runs all year round! Set-up your own Birthday Club in minutes by collecting your customer\'s birthdate on the order status page, landing page, POS, newsletter sign-up forms or customer account creation page. Start growing your Birthday Club immediately and monitor the results as birthday discounts are sent out and used. Watch the lifetime value of each Birthday Club member grow as you build brand loyalty.   A Birthday email is one of the best performing marketing campaigns, fully automated and runs all year round! Set-up your own Birthday Club in minutes by collecting your customer\'s birthdate on the order status page, landing page, POS, newsletter sign-up forms or customer account creation page. Start growing your Birthday Club immediately and monitor the results as birthday discounts are sent out and used. Watch the lifetime value of each Birthday Club member grow as you build brand loyalty.  more         Sends your customers a birthday email each year with a unique discount code         Collects your customers DOB at multiple touchpoints across your store         Shows campaign stats and discount code conversions within the app         Manage the Birthday Club emails from your ESP with our integration options         Collect more Birthday Club sign-ups via our integration options    ",Rating (4.9),161,"June 23, 2017","Discounts, Gifts - Other, Discounts, Gifts - Other",support@happybirthday.unionworks.co.uk
HelpCenter | FAQ Chat Helpdesk ," Improve customer service with FAQ builder, help desk ticketing system, tabs, chatbot & live chat app  Answer your customers’ FAQs before they appear in your inbox with the help of an informative, easy-to-navigate FAQ page. It reduces the support team load and speeds up the response time. Manage inquiries from multiple channels: email, chat or FB Messenger - all in a single Help Desk. Add product descriptions, shipping and other info to product Tabs and improve store navigation. Our app provides Live Chat and automated chatbots that will keep your business accessible in real-time 24/7.   Answer your customers’ FAQs before they appear in your inbox with the help of an informative, easy-to-navigate FAQ page. It reduces the support team load and speeds up the response time. Manage inquiries from multiple channels: email, chat or FB Messenger - all in a single Help Desk. Add product descriptions, shipping and other info to product Tabs and improve store navigation. Our app provides Live Chat and automated chatbots that will keep your business accessible in real-time 24/7.  more         FAQ builder: create a SEO-friendly FAQ page using templates. FAQ translation         Chatbot & Live Chat app: Let your customers contact your business in real-time         Help Desk ticketing system: resolve inquiries from multiple channels in 1 place         Product tabs with descriptions (assign it by product type, collection or vendor)         Contact form: control over the elements, choose from different templates, widget    ",Rating (4.5),"1,307","December 8, 2015","FAQ, Support ticket management, FAQ, Support ticket management",support@helpcenterapp.com
"Plerdy — Heatmap, Replay & SEO "," Plerdy is a powerful tool: heatmap, session replay, SEO, popup survey, eCommerce tracking and more.  Your store doesn\'t convert visitors into customers; you need to find out the reasons for the design, buttons, banner, marketing campaign or something else. Of course, it is difficult to analyze why the user left your store without data, and blind \""optimization\"" by gradual changes takes a lot of time. Plerdy is an analytics tool that shows, based on heatmap data, recording video sessions how users behave on your store. You could survey visitors and offer a discount on your goods with popup forms.   Your store doesn\'t convert visitors into customers; you need to find out the reasons for the design, buttons, banner, marketing campaign or something else. Of course, it is difficult to analyze why the user left your store without data, and blind \""optimization\"" by gradual changes takes a lot of time. Plerdy is an analytics tool that shows, based on heatmap data, recording video sessions how users behave on your store. You could survey visitors and offer a discount on your goods with popup forms.  more         Heatmap — track all of clicks, cursor moves, scroll depth         Session recordings (session replay) — view what each visitor does on your store         Popup — survey customers, collect emails, increase sales and exit intent         SEO — daily analysis titles, descriptions, keywords and Google Search Console         Ecommerce tracking — Find the connection between user behavior and sales.    ",Rating (5),28,"February 15, 2022","Customer analytics, Customer analytics",support@email.plerdy.com
FAQ Page & Help Center Pro ," Easily create SEO-Friendly FAQ, product FAQ, FAQ Accordions pages with 12+ beautiful templates.  Note: If the FAQ demo store asks you for a storefront password, please enter \""123\"".
FAQ Page & Help Center Pro app by DDSHOPAPPS allows customers to look for common inquiries, questions with answers on the Knowledge Base and FAQ lists. Admins can create their own informative SEO-friendly FAQ page with all the necessary features.
Try our FAQs application to see why it is useful to you and trusted by merchants.   Note: If the FAQ demo store asks you for a storefront password, please enter \""123\"".
FAQ Page & Help Center Pro app by DDSHOPAPPS allows customers to look for common inquiries, questions with answers on the Knowledge Base and FAQ lists. Admins can create their own informative SEO-friendly FAQ page with all the necessary features.
Try our FAQs application to see why it is useful to you and trusted by merchants.  more         Show FAQs anywhere: Add FAQs to any page, section, product, collection         Support Google FAQ Schema: FAQs rich results are available, good for SEO         12+ Nice FAQ Page Templates: Easy to change various FAQ page templates         Multi-language FAQs, multiple main FAQ pages         Easy to create, easy to manage, boost sales    ",Rating (4.9),158,"June 15, 2021","FAQ, Store pages - Other, FAQ, Store pages - Other",ddshopapps@gmail.com
Helpful Product Reviews App ," HelpfulCrowd video product reviews makes building trust & making more sales faster and easier!  HelpfulCrowd is great for collecting video, photo or plain text product reviews to build immediate trust with shoppers.
Automatically collect reviews from customers after purchase, import them directly from AliExpress or another app. 
Protect your store brand with full review publishing control.
Drive engagement and conversions with our great looking premium widgets.
Our app does the \'heavy lifting\' to automatically build trust faster, drive more traffic and make more sales.   HelpfulCrowd is great for collecting video, photo or plain text product reviews to build immediate trust with shoppers.
Automatically collect reviews from customers after purchase, import them directly from AliExpress or another app. 
Protect your store brand with full review publishing control.
Drive engagement and conversions with our great looking premium widgets.
Our app does the \'heavy lifting\' to automatically build trust faster, drive more traffic and make more sales.  more         Build trust faster: Collect reviews after sale, migrate, AliExpress import         Drive more traffic: Automated SEO optimization to get found in Google searches         Make more sales: Great looking premium review widgets increases conversion rates         Increase basket value: Q&A with reviews increases value + xsell and upsell tools         Build loyalty: Engage customers, build a relationship and get more repeat sales    ",Rating (5),339,"September 26, 2018","Product reviews, Content marketing - Other, Product reviews, Content marketing - Other",1 (415) 992-7520
WhatsApp Marketing + Helpdesk ," Manage Customer Service on WhatsApp, Instagram, FB, Email, Chat. Send WhatsApp Marketing Broadcasts.  DelightChat\'s omnichannel customer support inbox helps your team streamline customer service, improve team productivity, and become loved by your customers for your amazing service.

Grow your sales by leveraging the power of WhatsApp. Run powerful WhatsApp Broadcasts, marketing automations, retention marketing campaigns using customer segments. We help you get official WhatsApp Business API access for your brand.   DelightChat\'s omnichannel customer support inbox helps your team streamline customer service, improve team productivity, and become loved by your customers for your amazing service.

Grow your sales by leveraging the power of WhatsApp. Run powerful WhatsApp Broadcasts, marketing automations, retention marketing campaigns using customer segments. We help you get official WhatsApp Business API access for your brand.  more         Manage customer chats from WhatsApp, Instagram, Facebook, Email & Live Chat.         Assign chats to team members, reply faster with templates and automations.         Send WhatsApp Broadcast campaigns to your customer lists and increase sales.         Recover Abandoned Carts, send Order Tracking link, increase Retention Marketing.         Get Official WhatsApp Business API access and Green Tick.    ",Rating (4.6),76,"January 25, 2021","Abandoned cart, Support ticket management, Abandoned cart, Support ticket management",support@delight.chat
Helium Customer Fields ," Create customer sign-up forms as unique as your business, and save custom data to customer accounts.  Helium Customer Fields is your one-stop shop to collect and manage customer information.

Create unique registration forms for different customer groups, and collect your customer\'s birthday, pet\'s name, VAT/Tax ID, etc. All customer data is synced with Shopify fields and/or customer metafields. 

Personalize forms with rules and variables, or tag customers automatically based on form input. 

Use our integrations to sync customer data with your business/marketing tools.   Helium Customer Fields is your one-stop shop to collect and manage customer information.

Create unique registration forms for different customer groups, and collect your customer\'s birthday, pet\'s name, VAT/Tax ID, etc. All customer data is synced with Shopify fields and/or customer metafields. 

Personalize forms with rules and variables, or tag customers automatically based on form input. 

Use our integrations to sync customer data with your business/marketing tools.  more         Simple drag-and-drop form builder with field types for nearly any use case         Approve customers by requiring account approval or email verification         Allow customers to edit their own data (name, email, or custom fields)         Configure automatic and/or conditional customer tags to organize customer groups         Developer-friendly! Front-end and back-end APIs are available for custom builds    ",Rating (4.9),285,"July 22, 2015","Customer analytics, Accounts and login, Customer analytics, Accounts and login",support@heliumdev.com
Reamaze Live Chat Helpdesk CRM ," Support and engage customers with live chat, chatbots, FAQ, and automation in a unified team inbox.  Reamaze is a customer support and engagement platform built for eCommerce.

Work faster, look professional, and retain happier customers with support and engagement tools like built-in FAQ, live chat, chatbots, web push notifications, status pages, and surveys, all in a multi-channel and unified team Inbox.

Connect to popular apps to lift efficiency. Use smart macros and automated workflows (AI Intents) with instant access to customer order info to save time and focus on what you do best.   Reamaze is a customer support and engagement platform built for eCommerce.

Work faster, look professional, and retain happier customers with support and engagement tools like built-in FAQ, live chat, chatbots, web push notifications, status pages, and surveys, all in a multi-channel and unified team Inbox.

Connect to popular apps to lift efficiency. Use smart macros and automated workflows (AI Intents) with instant access to customer order info to save time and focus on what you do best.  more         Manage customer support requests from email, chat, social, SMS, voice and more.         Create automated engagement, push, and chatbot prompts w/ AI to get more sales.         Manage, modify, and create Shopify orders directly while talking to customers.    ",Rating (4.6),217,"April 1, 2014","Chat, Support ticket management, Chat, Support ticket management",(408) 520-1217
Transcy: AI Language Translate ," Internationalize store with language translation; adapt market and sell in multiple currencies.  Transcy helps you localize your store by content translation and currency conversion, which provides your customers with a seamless native shopping experience to boost your sales in every market you target. Our powerful AI system can automatically translate (and translate on demand) your store very quickly. It is very easy to manage the translation with unlimited editing and a real-time update of the currency at the exchange rate, making your price very competitive and lively.   Transcy helps you localize your store by content translation and currency conversion, which provides your customers with a seamless native shopping experience to boost your sales in every market you target. Our powerful AI system can automatically translate (and translate on demand) your store very quickly. It is very easy to manage the translation with unlimited editing and a real-time update of the currency at the exchange rate, making your price very competitive and lively.  more         Auto-Translate to native language & convert currency by real-time Exchange Rate         Worry-free with unlimited word translation at high quality and naturalness         Increase organic traffic with multilingual SEO optimization         Improve the user experience by geolocation-based language & currency switching         Develop brand identity with stunning, customizable language & currency switcher    ",Rating (4.9),"4,933","May 28, 2020","Currency, Language and translation, Currency, Language and translation",support@fireapps.io
Picanova: Print‑on‑Demand ," We print, pack, and ship custom products, on demand. Get a fast and reliable fulfillment service.  Picanova is an established expert in printed wall & home decor products. If you want to grow your business with POD – whether you’re an e-commerce design business, independent creative, or any ambitious online store – we can get premium custom prints direct to your customers. 

We handle inventory, printing, and shipping. So your role begins and ends with providing the designs that your customers love. Meanwhile, you benefit from our carefully sourced materials and premium print quality.   Picanova is an established expert in printed wall & home decor products. If you want to grow your business with POD – whether you’re an e-commerce design business, independent creative, or any ambitious online store – we can get premium custom prints direct to your customers. 

We handle inventory, printing, and shipping. So your role begins and ends with providing the designs that your customers love. Meanwhile, you benefit from our carefully sourced materials and premium print quality.  more         Simple process – you’re ready to sell within 30 mins         Rock-bottom prices & generous commissions         Standard-setting product quality         Nothing to pay until you make a sale         Dedicated customer support    ",Rating (4.6),49,"December 29, 2020","Dropshipping, Print on demand (POD), Dropshipping, Print on demand (POD)",support-api@picanova.com
Branded SMS Pakistan ," Automated SMS or Call with More Customization Options to Improve Efficiency on Every Step You Take  With Branded SMS Pakistan, you can send SMS notifications to buyers when an order is placed, sent, or canceled. Add order tracking URLs and monetize your target audience in our portal to improve revenues through cross-selling. Automated robocalls can be used to reduce order returns by automatically confirming the amount of orders. You can now convert visitors into buyers by delivering personalized SMS to individuals who have abandoned their cart. Discover many more useful features in our app.   With Branded SMS Pakistan, you can send SMS notifications to buyers when an order is placed, sent, or canceled. Add order tracking URLs and monetize your target audience in our portal to improve revenues through cross-selling. Automated robocalls can be used to reduce order returns by automatically confirming the amount of orders. You can now convert visitors into buyers by delivering personalized SMS to individuals who have abandoned their cart. Discover many more useful features in our app.  more         Send an automated SMS notification to buyer when an order is placed or shipped         Reduce cart abandonment by sending promotional SMS to your customers instantly.         Use an Automated voice calling system instead of calling each client manually.    ",Rating (5),6,"March 3, 2020","Customer order tracking, Customer order tracking",+923151231015
Burgerprints: Print‑on‑Demand ," Burgerprints app provides fulfill solution for Print On Demand, Handmade-On Demand products.  We handle all tedious and hard work from printing, packing, and shipping, which allows you to fully focus on designing and growing.

What we offers:
First of its kind Handmade-On-Demand product catalog.
Hundreds of Print-On-Demand products.
Easy to use mockup generator.
High quality with reasonable base cost.
Automatic Syncing with your Online Store   We handle all tedious and hard work from printing, packing, and shipping, which allows you to fully focus on designing and growing.

What we offers:
First of its kind Handmade-On-Demand product catalog.
Hundreds of Print-On-Demand products.
Easy to use mockup generator.
High quality with reasonable base cost.
Automatic Syncing with your Online Store  more         Hundreds of Print-on-Demand products with high quality and good base cost         No order minimums. Whether you sell one item or thousands, we fulfill it for you         Fulfillment is made easy with simple integration technology and auto-sync orders    ",Rating (3),2,"February 5, 2021","Print on demand (POD), Order sync, Print on demand (POD), Order sync",+84 931348999
Samdai ‑ Same day 2h Delivery ," The app enables you to offer same day delivery from your store to your customer.  Samdai Delivery enables fashion merchants to offer their customers same day 2-hour delivery. This can increase merchant conversions by up to 76% according to research and allows them to offer a unique customer experience.

The app connects to the Samdai mobile app which allows customers to track their delivery from your store to their door. As a merchant, you will get notified when you get a delivery from us. You then pack the order, sit back and wait for a courier to pick up the item.   Samdai Delivery enables fashion merchants to offer their customers same day 2-hour delivery. This can increase merchant conversions by up to 76% according to research and allows them to offer a unique customer experience.

The app connects to the Samdai mobile app which allows customers to track their delivery from your store to their door. As a merchant, you will get notified when you get a delivery from us. You then pack the order, sit back and wait for a courier to pick up the item.  more         Same day 2-hour fashion delivery         Trackable delivery         Add opening and closing times    ",Rating (5),1,"December 16, 2019","Local delivery, Local delivery",08009875654
"Helphub FAQ Page, Help Center "," Easily create FAQ page for your store or product FAQs to reduce your customer service time.  Easy FAQ helps you to create modern FAQ pages for your store. The app is carefully built by taking all end users into consideration which makes your life easy. App also allows you to create product FAQs with ease.

FAQ page is fully customizable meaning you can adjust various aspects like font size, color, style etc., to match your brand and style. Solid underlying infrastructure & built-in cache allows faster page load time which helps customers load FAQs page in a fraction of seconds.   Easy FAQ helps you to create modern FAQ pages for your store. The app is carefully built by taking all end users into consideration which makes your life easy. App also allows you to create product FAQs with ease.

FAQ page is fully customizable meaning you can adjust various aspects like font size, color, style etc., to match your brand and style. Solid underlying infrastructure & built-in cache allows faster page load time which helps customers load FAQs page in a fraction of seconds.  more         Fully customizable FAQ themes to match with your store brand & style.         Allows creation of store FAQs & product FAQs in simplistic & seamless way.         Default support for Google rich SEO snippets for your dedicated FAQ page.    ",Rating (5),365,"March 10, 2020","FAQ, Store pages - Other, FAQ, Store pages - Other",avocadoslab@gmail.com
"Live Chat,Help Center,FAQ Page "," The excellent merchants grow through exceptional and cost-effective Ecommerce help desk  Willdesk is built for Shopify merchants that can manage orders from customers and inbox messages from Email, Live chat, and Social media in one Platform. A dedicated FAQ feature combined with an integrated Order Tracking system can save you a great amount of time and cost on processing over 70% of common issues such as \""Where is my order\"". No need to install any other Order Tracking APP. And you can revert to your customer\'s inquiry through the adaptable Willdesk mobile app.   Willdesk is built for Shopify merchants that can manage orders from customers and inbox messages from Email, Live chat, and Social media in one Platform. A dedicated FAQ feature combined with an integrated Order Tracking system can save you a great amount of time and cost on processing over 70% of common issues such as \""Where is my order\"". No need to install any other Order Tracking APP. And you can revert to your customer\'s inquiry through the adaptable Willdesk mobile app.  more         Branded Self-service widget, integrate with Order Tracking, FAQ, Email form.         Boost sales through live chat, convert valuable visitors into buyers.         Manage the inbox messages from multiple social media, Emails in one platform.         Get complete customer index, providing service to boost sales through CRM.         Multi-store integration, support custom Js multi-platform integration.    ",Rating (5),535,"February 22, 2021
          ·","Chat, FAQ, Chat, FAQ",support@willdesk.email
