Name,Description,Rating,Reviews,Launched Date,Categories,Support Email
"Joy: Rewards, Loyalty Program  "," Joy Loyalty helps convert your buyers into loyal customers effortlessly by automatic points earning  See the power of this app with outstanding features
- An automatic and powerful rewards point system. Store admins can easily setup earning/spending point flexibly
- Redeeming condition and points expiration period
- Customer management: manage points, reward card
- Brand design customization: loyalty popup, welcome popup, recommended
- Referrals program, discount code, commission program
-  Analytics for loyalty campaign reports
Importantly, there is no coding required, 24/7 support service   See the power of this app with outstanding features
- An automatic and powerful rewards point system. Store admins can easily setup earning/spending point flexibly
- Redeeming condition and points expiration period
- Customer management: manage points, reward card
- Brand design customization: loyalty popup, welcome popup, recommended
- Referrals program, discount code, commission program
-  Analytics for loyalty campaign reports
Importantly, there is no coding required, 24/7 support service  more         Earning rule: Signup, Place orders, Write Review, Social Share, Referral, etc         Spending rule: Discount amount or percentage on online store or POS         Customer management: Adjust, import and export  points         Fully customizable branding with language translattion         Reward email notification, automation email, loyalty email    ",Rating (4.9),784,"June 28, 2021","Discounts, Loyalty and rewards, Discounts, Loyalty and rewards",win@avada.io
Scarcify App ,"   See results right away with the Scarcify app! We have six tools that add credibility and scarcity to help you increase the action of your user which equals more engagement and revenue. Normally you would need 6 different apps that we have combined into one simple app suite.  

#How Does It Work?

Scarcify has multiple pre-made and customizable tools including product page countdown timers, social proof pop-ups, multiple promotion header announcement bar, real time visitor counter, auto...   See results right away with the Scarcify app! We have six tools that add credibility and scarcity to help you increase the action of your user which equals more engagement and revenue. Normally you would need 6 different apps that we have combined into one simple app suite.  

#How Does It Work?

Scarcify has multiple pre-made and customizable tools including product page countdown timers, social proof pop-ups, multiple promotion header announcement bar, real time visitor counter, auto...  more    ",Rating (3.7),8,"September 11, 2017","Countdown timer, Stock counter, Countdown timer, Stock counter",6193068488
Judge.me AliExpress Reviews ," Import unlimited reviews from AliExpress. Display reviews using Judge.me or any review app.  To import reviews, install the app or Chrome extension, then choose the Shopify product to add reviews and enter the AliExpress product URL. You can apply many filters: number of reviews to import, minimum rating/specific rating, reviews with photos, etc. To import faster, you can create import settings and run multiple imports simultaneously with different settings. You can transfer your imported reviews automatically to Judge.me, or export reviews to CSV and import them to another review app.   To import reviews, install the app or Chrome extension, then choose the Shopify product to add reviews and enter the AliExpress product URL. You can apply many filters: number of reviews to import, minimum rating/specific rating, reviews with photos, etc. To import faster, you can create import settings and run multiple imports simultaneously with different settings. You can transfer your imported reviews automatically to Judge.me, or export reviews to CSV and import them to another review app.  more         Import unlimited reviews from AliExpress. Run multiple imports at the same time.         Apply multiple filters to get the reviews you want         Integrate with Judge.me to show reviews or export reviews to another review app         Import reviews directly from AliExpress pages with the Chrome extension         Build trust and increase conversion rate with review photos and descriptive UGC    ",Rating (4.9),468,"March 14, 2018
          ·","Product reviews, Direct marketing - Other, Product reviews, Direct marketing - Other",support@judge.me
Jubilee Beauty Print on Demand ," Start a personalized cosmetics & vegan beauty brand in just a few minutes! Ships from USA & Canada.  Grab your share of the $87 billion beauty industry with Jubilee. Starting and scaling a private-label cosmetics and beauty brand has never been easier. Discover high-quality private-label makeup and beauty products. Upload your logo and write your brand name. Find products to sell. Customize and push selected listings to your store with one click. Find a wide selection of high quality beauty and cosmetics products with 2-day processing time that ship from USA. Try Jubilee beauty for FREE today.   Grab your share of the $87 billion beauty industry with Jubilee. Starting and scaling a private-label cosmetics and beauty brand has never been easier. Discover high-quality private-label makeup and beauty products. Upload your logo and write your brand name. Find products to sell. Customize and push selected listings to your store with one click. Find a wide selection of high quality beauty and cosmetics products with 2-day processing time that ship from USA. Try Jubilee beauty for FREE today.  more         Add your personalized brand name & logo on cosmetics, beauty, skincare products         Easily search from a strong catalog of lipsticks, mascara, eyeliner & foundation         Order samples at wholesale costs and try products before selling on your store         Get exclusive access to an account manager here to help every step of the way         Filter by category to find products, edit and sell on your store    ",Rating (4.5),232,"September 23, 2022","Dropshipping, Print on demand (POD), Dropshipping, Print on demand (POD)",support@jubilee.beauty
Junip ‑ Product Reviews & UGC ," Gather more reviews & display them everywhere that matters. For products worth talking about.  Gather, manage & display reviews using the same platform as OLIPOP, Jones Road Beauty, Kotn, Lomi, Hexclad, Pier 1 Imports, BodyBuilding.com & 3,000+ others that made the switch to Junip.

Our review widgets are speed tested & automatically match your branding & CSS out of the box. Mobile first review forms lead to 4x more photo & videos alongside custom questions & attributes. Simple to set up & manage - we make sure reviews are easy so you can get back to building your business.   Gather, manage & display reviews using the same platform as OLIPOP, Jones Road Beauty, Kotn, Lomi, Hexclad, Pier 1 Imports, BodyBuilding.com & 3,000+ others that made the switch to Junip.

Our review widgets are speed tested & automatically match your branding & CSS out of the box. Mobile first review forms lead to 4x more photo & videos alongside custom questions & attributes. Simple to set up & manage - we make sure reviews are easy so you can get back to building your business.  more         Review submission purpose built for mobile, leading to 4x the media in reviews         Deep integrations with leading ESP & SMS tools to send & manage communications         Works across Google Shopping, search & more to improve conversion rate         Review widgets that are accessible, performant, mobile first & match your brand         Powerful Admin tools to reply to reviews, share on social, manage users & more    ",Rating (5),330,"November 19, 2019
          ·","Product reviews, Page enhancements - Other, Product reviews, Page enhancements - Other",support@juniphq.com
JetPrint: Print On Demand ," Build Up Your Own Brand by 400+ Print On Demand Shoes, Custom Jewelry, Drinkware, Bags&AOP Clothing  Being passionate about quality products\' expansion with better mockups. Now Direct Design-In-Store realized! 80+ jewelry & custom gifts selected to sync to your store for your customers to directly design and order, and easily update your current brand to be customizable.

Own Source manufacturer supplying 400+ custom products & fast global trackable dropshipping services! Aiming at better print on demand products, services, and easier integration to help with building up your own custom brands!   Being passionate about quality products\' expansion with better mockups. Now Direct Design-In-Store realized! 80+ jewelry & custom gifts selected to sync to your store for your customers to directly design and order, and easily update your current brand to be customizable.

Own Source manufacturer supplying 400+ custom products & fast global trackable dropshipping services! Aiming at better print on demand products, services, and easier integration to help with building up your own custom brands!  more         400+ Print On Demand Shoes, Custom Jewelry&Gifts, Drinkware, Bags & AOP Clothing         80+ Jewelry & custom gifts for branding with custom texts&images         Easily sync DIY jewelry&gifts for customers\' direct design&order in your store         Quality products with real-time mockup generation for faster setup&ads promotion         5-Day production & 7-Day global trackable express drop shipping with 0 MOQ.    ",Rating (4),282,"December 15, 2017","Dropshipping, Print on demand (POD), Dropshipping, Print on demand (POD)",+1(415)800-4813
Jebbit: Easily Create Quizzes ," Easily create personalized product finder quizzes. Increase leads, conversions & average order value  With Jebbit, Shopify and Shopify Plus merchants can create shoppable product finder quizzes to capture leads, increase conversion rates and recover abandoned carts - no code required. Jebbit personalized quizzes see an above average completion rate and create confident purchase decisions that build trust with consumers.   With Jebbit, Shopify and Shopify Plus merchants can create shoppable product finder quizzes to capture leads, increase conversion rates and recover abandoned carts - no code required. Jebbit personalized quizzes see an above average completion rate and create confident purchase decisions that build trust with consumers.  more         Sync product recommendations directly from your Shopify product catalogue.         Easily build, optimize & update your quiz in minutes with our no-code builder.         Increase leads, conversions, average order value & recover abandoned carts.         Direct integration with Klaviyo & Attentive for personalized communications.         In-depth analytics & metrics on leads, engagements, views and completions    ",Rating (4.9),76,"November 9, 2020","Email capture, Recommended products, Email capture, Recommended products",Support@Jebbit.com
JSON‑LD for SEO ," More organic SEO traffic by highlighting your reviews, prices, & business details in search results  Safely & effectively earn qualified traffic to boost conversions. Instantly connect 100s of structured data fields needed for Google Rich Results, Rich Snippets & Merchant Center (Google Shopping, Ads, YouTube Shopping). Swap out & edit the theme & your Schema.org based structured data auto-updates at no extra cost. After installing you’ll get a data audit, up to 6 months of monitoring, unlimited app support, & the Shopify SEO: Simplified audio training course. Not sure? Ask for your free audit.   Safely & effectively earn qualified traffic to boost conversions. Instantly connect 100s of structured data fields needed for Google Rich Results, Rich Snippets & Merchant Center (Google Shopping, Ads, YouTube Shopping). Swap out & edit the theme & your Schema.org based structured data auto-updates at no extra cost. After installing you’ll get a data audit, up to 6 months of monitoring, unlimited app support, & the Shopify SEO: Simplified audio training course. Not sure? Ask for your free audit.  more         Qualify for Rich Results & earn more quality traffic in Google, Bing & Pinterest         Connect all the Schema fields needed for Google Merchant Center with/out a feed         Show product reviews in search results with one of the 20+ review apps supported         Pull subscription-based prices from subscription apps to show price ranges         Data for products, blogs, pages & homepage plus options for FAQ, Recipes & Video    ",Rating (4.9),511,"October 20, 2015
          ·","SEO, Advertising - Other, SEO, Advertising - Other",support@ilanadavis.com
Artshiney：Jewelry Dropshipping ," Artshiney is a jewelry manufacturer, we provide jewelry on-demand distribution services  How does Artshiney work?

1. Start by creating an Artshiney account
2. Connect your Shopify store with the integration on the store page and click the \""Add App\"" button
3. You can choose the goods to be distributed, and do some simple price setting operations, Artshiney will take you to this
4. The configuration information of the product is synchronized to your online store.
5. Your customers choose our products in your online store, click the Customize button, your customers will be able to use   How does Artshiney work?

1. Start by creating an Artshiney account
2. Connect your Shopify store with the integration on the store page and click the \""Add App\"" button
3. You can choose the goods to be distributed, and do some simple price setting operations, Artshiney will take you to this
4. The configuration information of the product is synchronized to your online store.
5. Your customers choose our products in your online store, click the Customize button, your customers will be able to use  more         We offer special customizers that allow your customers to customize jewelry         We will provide exquisite product packaging, which will surprise your customers         Multiple hot finished  jewelry and custom jewelry on the shelves every day    ",Rating (4.6),2,"May 31, 2022","Dropshipping, Gift registry, Dropshipping, Gift registry",service@artshiney.com
Just Sold ," Just sold will promote products that other shoppers have purchased in your store.  We have designed our dynamic sales ticker to drive more sales within your Shopify store by influencing your visitors to take action. Use the power of social influence!

Consumers typically purchase faster, and more often, when they see other consumers making similar purchases. It’s a simple marketing rule that’s as old as time itself and the very principle that our app was built for.   We have designed our dynamic sales ticker to drive more sales within your Shopify store by influencing your visitors to take action. Use the power of social influence!

Consumers typically purchase faster, and more often, when they see other consumers making similar purchases. It’s a simple marketing rule that’s as old as time itself and the very principle that our app was built for.  more         Our sales ticker notifies your site visitors of recent purchases & cart addition         Our sales notification shows your visitors what others are looking at         We’ve designed our sales ticker to look as good as it functions    ",Rating (4.7),375,"May 22, 2020","Popups, Social proof, Popups, Social proof",support@zoomifi.com
TrendDrop | On‑Trend Jewelry ," TrendDrop Automates Your Sourcing and Fulfillment Needs. Sync our catalog and orders seamlessly.  Right Style at Right Time - The Real Choice
TrendDrop does real-time sync of our high-quality, on-trend catalog of fashion jewelry and accessories.
Order auto syncs to our systems and ships the same day out of approval. Most orders are delivered to the door within 3 business days.

As Brand Owner, you have complete flexibility to set your own mark-ups with our easy and user-friendly tool.

#Trending Styles + Quality + Competitive Pricing +Excellent Customer Support= Your Success   Right Style at Right Time - The Real Choice
TrendDrop does real-time sync of our high-quality, on-trend catalog of fashion jewelry and accessories.
Order auto syncs to our systems and ships the same day out of approval. Most orders are delivered to the door within 3 business days.

As Brand Owner, you have complete flexibility to set your own mark-ups with our easy and user-friendly tool.

#Trending Styles + Quality + Competitive Pricing +Excellent Customer Support= Your Success  more         One-click import of catalog to store.Protect reputation with high-quality styles         Auto-sync orders. Real-time sync saves time and reduces the risk of lost sales.         Ships same day of order approval.Fast Shipping and Delivery.    ",Rating (4.7),4,"September 17, 2021","Dropshipping, Dropshipping",(844) 765-8696
easyRates: Japan Post ," Automatically calculate and offer real-time Japan Post rates for international shipments!  Just install, confirm your shipping zones, and voilà: available Japan Post shipping methods and rates will be shown to your customers!

You can take things further by offering free shipping based on cart total, adding handling fees, and more. You can also simplify things by only displaying recommended methods (and blocking any restricted methods from showing up during checkout). International orders are even easier when paired with easyLabel!

*Domestic shipping within Japan is not supported   Just install, confirm your shipping zones, and voilà: available Japan Post shipping methods and rates will be shown to your customers!

You can take things further by offering free shipping based on cart total, adding handling fees, and more. You can also simplify things by only displaying recommended methods (and blocking any restricted methods from showing up during checkout). International orders are even easier when paired with easyLabel!

*Domestic shipping within Japan is not supported  more         Display available international shipping methods and rates from Japan Post         Create country-specific rules and restrictions         Block restricted methods or display warnings (e.g. COVID-19 suspensions)         Add packaging weight rules for more accurate quotes         Offer free shipping methods based on a customer’s cart total    ",Rating (4.8),7,"October 19, 2017","Shipping rate calculator, Shipping rate calculator",support@lunaris.jp
Custom CSS & JS ,"   Customize your Shopify store exactly how you want it. Add CSS and Javascript to your site. Edit your code in an easy-to-use code editor. This plugin is designed to meet the needs of administrators who would like to add their own CSS or JS to their Shopify website.

Styles and Javascript files created with this plugin will be included in your theme files. This results in fast loading times for your customers.   Customize your Shopify store exactly how you want it. Add CSS and Javascript to your site. Edit your code in an easy-to-use code editor. This plugin is designed to meet the needs of administrators who would like to add their own CSS or JS to their Shopify website.

Styles and Javascript files created with this plugin will be included in your theme files. This results in fast loading times for your customers.  more    ",Rating (2.4),2,"October 15, 2020","Page enhancements - Other, Page enhancements - Other",karachosoftware@gmail.com
CJdropshipping ," Product sourcing and auto-listing feature.
Convenient and fast order fulfillment & delivery.  Trending products recommendation with CJ\'s big-data powered system. Sales promotion under the auspices of marketing tools. Access to a professional agent with 24/7 online support. A variety of products at factory price, prepared to be listed to your store. Products and packaging customization (POD, OEM) with dropshipping service. Convenient order syncing & fulfillment service. Efficient local warehouse delivery service (general delivery time of 2-3 days).   Trending products recommendation with CJ\'s big-data powered system. Sales promotion under the auspices of marketing tools. Access to a professional agent with 24/7 online support. A variety of products at factory price, prepared to be listed to your store. Products and packaging customization (POD, OEM) with dropshipping service. Convenient order syncing & fulfillment service. Efficient local warehouse delivery service (general delivery time of 2-3 days).  more         CJ products are supportive of DIY bundle products combination.         The optimized shipping method will be automatically applied to your orders.         Use the Shipping Calculation feature to measure shipping methods & costs.         Product reviews are able to be imported to your stores.         Import products on 1688, Taobao, AliExpress to your stores via Google extension.    ",Rating (4.8),"3,177","January 6, 2020","Dropshipping, Managing orders - Other, Dropshipping, Managing orders - Other",+1 909-636-0222
J&T Express Malaysia ,"   #Introduction
By using J&T Express APP, you will obtain a more simple, smoother and faster shipment process which will allow you to order, manage and generate consignment notes faster and more efficient using a single platform. 

#Highlights:

#Creating orders
* Create orders more efficiently using one platform albeit single or bulk orders. No longer required to access J&T platform to create shipment orders.

#Cancel Orders
* Directly cancel orders that were made all from one platform without...   #Introduction
By using J&T Express APP, you will obtain a more simple, smoother and faster shipment process which will allow you to order, manage and generate consignment notes faster and more efficient using a single platform. 

#Highlights:

#Creating orders
* Create orders more efficiently using one platform albeit single or bulk orders. No longer required to access J&T platform to create shipment orders.

#Cancel Orders
* Directly cancel orders that were made all from one platform without...  more    ",Rating (1),1,"October 20, 2020","Shipping labels, Shipping labels",support@jtexpress.my
Optimiize SEO ," Allows you to have full control over NoIndex, NoFollow meta tags, and the XML sitemap.  When you apply NoIndex to a page, search engines like Google, Bing, and Yahoo will be informed that those pages have been marked as NoIndex, and they will not be crawled or indexed as a result.

It will save you a lot of time and help you gain more organic traffic faster.   When you apply NoIndex to a page, search engines like Google, Bing, and Yahoo will be informed that those pages have been marked as NoIndex, and they will not be crawled or indexed as a result.

It will save you a lot of time and help you gain more organic traffic faster.  more         Improves coverage, duplicate content issues and indexation of your store         SEO friendly sitemap that Search engines love         Manage XML Sitemap and add NoIndex, NoFollow to boost SEO    ",Rating (3.2),2,"August 19, 2021","SEO, SEO",success@jlouis.com
Shipdeo 3PL Aggregator ,"   Shipdeo is an application that makes it easy for you to deliver goods to the rest of Indonesia use various couriers which you can define yourself. Shipdeo has become the official partner of many shipping service couriers such as JNE, J&T, Sicepat, SAP, Anteraja, Ninja, JX, and Gosend. You can choose the courier that suits your needs based on shipping costs, delivery duration, and service rates for each courier.

Here are some of the features of shipdeo:

#Manage Orders
Manage orders using the...   Shipdeo is an application that makes it easy for you to deliver goods to the rest of Indonesia use various couriers which you can define yourself. Shipdeo has become the official partner of many shipping service couriers such as JNE, J&T, Sicepat, SAP, Anteraja, Ninja, JX, and Gosend. You can choose the courier that suits your needs based on shipping costs, delivery duration, and service rates for each courier.

Here are some of the features of shipdeo:

#Manage Orders
Manage orders using the...  more    ",Rating (5),8,"January 19, 2021","Order and shipping reports, Order and shipping reports",+62 878-9775-9000
Airfields ,"   # Extend your store with any kind of data anywhere.
Add the right information in the right places. Now It\'s up to you where to add an \""Additional description\"" or \""Extra images\"". 

# Use an interface you know
If you are familiar with the Shopify interface then working with Airfields will be a breeze. We\'ve developed our plugin based on Shopify Polaris, this means that we are using exactly the same interface elements as native Shopify.

# Example use cases
Whenever you need to add...   # Extend your store with any kind of data anywhere.
Add the right information in the right places. Now It\'s up to you where to add an \""Additional description\"" or \""Extra images\"". 

# Use an interface you know
If you are familiar with the Shopify interface then working with Airfields will be a breeze. We\'ve developed our plugin based on Shopify Polaris, this means that we are using exactly the same interface elements as native Shopify.

# Example use cases
Whenever you need to add...  more    ",Rating (4.6),13,"September 26, 2018","Metafields, Metafields",support@airfields.io
Judge.me Product Reviews ," Collect and display product reviews and star ratings. Build trust and boost sales with social proof.  Judge.me is a fast-loading, fully customizable review app in 37 languages.
Schedule automatic emails to get reviews with photos and videos after order fulfillment or delivery, or import them from other apps. Improve your conversion rate by showing reviews and UGC on your storefront widgets, sharing them on social media, and adding stars on Google for SEO. Setup is easy and tailored to your store: customize widget texts, colors, and themes, or ask our 24/7 support team for basic design tweaks.   Judge.me is a fast-loading, fully customizable review app in 37 languages.
Schedule automatic emails to get reviews with photos and videos after order fulfillment or delivery, or import them from other apps. Improve your conversion rate by showing reviews and UGC on your storefront widgets, sharing them on social media, and adding stars on Google for SEO. Setup is easy and tailored to your store: customize widget texts, colors, and themes, or ask our 24/7 support team for basic design tweaks.  more         Unlimited email review requests with photo and video, and in-email review forms         Display star ratings, store and product reviews, trust badges, reviews carousel         Share reviews on Facebook, Instagram, Twitter, rich snippets and Google Shopping         Synchronize and group product reviews across different products and stores         Engage your reviewers with Q&A, coupons, and email marketing integrations    ",Rating (5),"13,899","June 25, 2015
          ·","Product reviews, SEO, Product reviews, SEO",support@judge.me
Meowship ," Connect your store with GHN, GHTK, J&T Express for shipping and fulfillment.  Connect with multiple couriers and instant delivery in Vietnam. Save time & money with automation & rules. Custom notification via email, sms and Zalo.   Connect with multiple couriers and instant delivery in Vietnam. Save time & money with automation & rules. Custom notification via email, sms and Zalo.  more         Push orders to multiple couriers         Track orders from many sources in one place         Automation flows & rules    ",Rating (5),2,"March 2, 2022","Shipping labels, Order and shipping reports, Shipping labels, Order and shipping reports",support@meowcart.net
